Chave_Produto;Codigo_Produto;Nome_Produto;Sub_Categoria;Categoria_Produto;Cor;Tamanho;Linha_Produto;Modelo_Produto;Descricao_Produto;Status_Produto
1;AR-5381;Adjustable Race;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
2;BA-8327;Bearing Ball;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
3;BE-2349;BB Ball Bearing;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
4;BE-2908;Headset Ball Bearings;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
5;BL-2036;Blade;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
6;CA-5965;LL Crankarm;NULL;NULL;Preto;NULL;NULL;NULL;NULL;Atualizado
7;CA-6738;ML Crankarm;NULL;NULL;Preto;NULL;NULL;NULL;NULL;Atualizado
8;CA-7457;HL Crankarm;NULL;NULL;Preto;NULL;NULL;NULL;NULL;Atualizado
9;CB-2903;Chainring Bolts;NULL;NULL;Prata;NULL;NULL;NULL;NULL;Atualizado
10;CN-6137;Chainring Nut;NULL;NULL;Prata;NULL;NULL;NULL;NULL;Atualizado
11;CR-7833;Chainring;NULL;NULL;Preto;NULL;NULL;NULL;NULL;Atualizado
12;CR-9981;Crown Race;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
13;CS-2812;Chain Stays;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
14;DC-8732;Decal 1;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
15;DC-9824;Decal 2;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
16;DT-2377;Down Tube;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
17;EC-M092;Mountain End Caps;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
18;EC-R098;Road End Caps;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
19;EC-T209;Touring End Caps;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
20;FE-3760;Fork End;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
21;FH-2981;Freewheel;NULL;NULL;Prata;NULL;NULL;NULL;NULL;Atualizado
22;FW-1000;Flat Washer 1;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
23;FW-1200;Flat Washer 6;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
24;FW-1400;Flat Washer 2;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
25;FW-3400;Flat Washer 9;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
26;FW-3800;Flat Washer 4;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
27;FW-5160;Flat Washer 3;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
28;FW-5800;Flat Washer 8;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
29;FW-7160;Flat Washer 5;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
30;FW-9160;Flat Washer 7;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
31;FC-3654;Fork Crown;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
32;FC-3982;Front Derailleur Cage;NULL;NULL;Prata;NULL;NULL;NULL;NULL;Atualizado
33;FL-2301;Front Derailleur Linkage;NULL;NULL;Prata;NULL;NULL;NULL;NULL;Atualizado
34;GP-0982;Guide Pulley;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
35;GT-0820;LL Grip Tape;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
36;GT-1209;ML Grip Tape;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
37;GT-2908;HL Grip Tape;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
38;HJ-1213;Thin-Jam Hex Nut 9;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
39;HJ-1220;Thin-Jam Hex Nut 10;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
40;HJ-1420;Thin-Jam Hex Nut 1;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
41;HJ-1428;Thin-Jam Hex Nut 2;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
42;HJ-3410;Thin-Jam Hex Nut 15;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
43;HJ-3416;Thin-Jam Hex Nut 16;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
44;HJ-3816;Thin-Jam Hex Nut 5;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
45;HJ-3824;Thin-Jam Hex Nut 6;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
46;HJ-5161;Thin-Jam Hex Nut 3;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
47;HJ-5162;Thin-Jam Hex Nut 4;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
48;HJ-5811;Thin-Jam Hex Nut 13;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
49;HJ-5818;Thin-Jam Hex Nut 14;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
50;HJ-7161;Thin-Jam Hex Nut 7;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
51;HJ-7162;Thin-Jam Hex Nut 8;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
52;HJ-9080;Thin-Jam Hex Nut 12;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
53;HJ-9161;Thin-Jam Hex Nut 11;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
54;HN-1024;Hex Nut 5;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
55;HN-1032;Hex Nut 6;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
56;HN-1213;Hex Nut 16;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
57;HN-1220;Hex Nut 17;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
58;HN-1224;Hex Nut 7;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
59;HN-1420;Hex Nut 8;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
60;HN-1428;Hex Nut 9;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
61;HN-3410;Hex Nut 22;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
62;HN-3416;Hex Nut 23;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
63;HN-3816;Hex Nut 12;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
64;HN-3824;Hex Nut 13;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
65;HN-4402;Hex Nut 1;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
66;HN-5161;Hex Nut 10;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
67;HN-5162;Hex Nut 11;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
68;HN-5400;Hex Nut 2;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
69;HN-5811;Hex Nut 20;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
70;HN-5818;Hex Nut 21;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
71;HN-6320;Hex Nut 3;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
72;HN-7161;Hex Nut 14;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
73;HN-7162;Hex Nut 15;NULL;NULL;NA;NULL;NULL;NULL;NULL;Atualizado
